 : 18
по : 14
всему : 2
Эйзенмата : 1
это : 16
ничуть : 11
не : 16
трогало : 5
Насколько : 11
я : 12
понимаю : 5
в : 14
последние : 2
годы : 1
финансовое : 2
положение : 1
компании : 1
вообще : 11
не : 16
блестяще : 11
В : 14
основном : 1
изза : 1
ограничений : 1
навязанных : 7
правительством : 1
Охранитель : 1
Будьте : 5
реалистом : 1
мистер : 1
Робертсон : 1
Вы : 12
же : 16
знаете : 15
как : 15
растет : 5
предубеждение : 1
общества : 1
против : 14
роботов : 1
Ошибочное : 2
предубеждение : 1
И : 15
тем : 15
не : 16
менее : 11
Возможно : 15
лучший : 2
выход : 1
ликвидировать : 6
компанию : 1
Это : 16
не : 16
более : 11
чем : 15
совет : 1
конечно : 15
Ваши : 2
советы : 1
стоят : 5
иных : 2
приказов : 1
Охранитель : 1
Должен : 3
ли : 16
я : 12
напомнить : 6
что : 15
наши : 2
Машины : 1
сто : 1
лет : 1
назад : 11
помогли : 5
преодолеть : 6
экологический : 2
кризис : 1
Уверен : 3
что : 15
человечество : 1
благодарно : 11
им : 1
но : 15
прошло : 3
уже : 11
столько : 11
лет : 1
Теперь : 11
мы : 12
живем : 5
в : 14
согласии : 1
с : 14
природой : 1
хотя : 15
и : 15
терпим : 3
изза : 1
этого : 12
известные : 2
неудобства : 1
А : 15
прошлое : 1
покрыто : 8
мраком : 1
Вы : 12
хотите : 5
сказать : 6
у : 14
фирмы : 1
в : 14
последнее : 2
время : 1
нет : 13
никаких : 2
заслуг : 1
перед : 14
обществом : 1
Можно : 13
выразиться : 6
и : 15
так : 15
Но : 15
вы : 12
же : 16
не : 16
считаете : 5
что : 15
компания : 1
должна : 3
быть : 6
ликвидирована : 8
немедленно : 11
Эго : 1
будет : 5
настоящий : 2
крах : 1
Нам : 12
нужно : 13
время : 1
Сколько : 15
Сколько : 15
вы : 12
можете : 5
дать : 6
Это : 16
от : 14
меня : 12
не : 16
зависит : 5
Мы : 12
здесь : 11
одни : 2
вкрадчиво : 3
проговорил : 5
Робертсон : 1
Не : 16
стоит : 5
играть : 6
в : 14
эти : 2
игры : 1
Сколько : 15
времени : 1
вы : 12
мне : 12
можете : 5
дать : 6
Эйзенмат : 1
сделал : 5
вид : 1
что : 15
усердно : 11
подсчитывает : 5
чтото : 8
про : 14
себя : 12
Думаю : 5
у : 14
вас : 12
в : 14
запасе : 1
около : 14
двух : 10
лет : 1
Буду : 5
откровенным : 2
Всемирное : 2
Правительство : 1
намеревается : 5
прибрать : 6
фирму : 1
к : 14
рукам : 1
и : 15
свернуть : 6
ее : 12
деятельность : 1
если : 15
вы : 12
не : 16
сделаете : 5
этого : 12
сами : 2
Или : 15
в : 14
общественном : 2
мнении : 1
не : 16
произойдет : 5
резкого : 2
поворота : 1
в : 14
чем : 15
я : 12
лично : 11
сильно : 11
сомневаюсь : 5
Робертсон : 1
остался : 5
один : 2
Думать : 6
ему : 12
было : 5
не : 16
о : 14
чем : 15
и : 15
он : 12
предался : 5
воспоминаниям : 1
Уже : 11
четыре : 10
поколения : 1
Робертсонов : 1
стояли : 5
во : 14
главе : 1
компании : 1
Никто : 12
из : 14
них : 12
не : 16
был : 5
роботехником : 1
Специалистами : 1
были : 5
Лэннинг : 1
и : 15
Богерт : 1
и : 15
конечно : 15
же : 16
в : 14
первую : 2
очередь : 1
Сьюзен : 1
Кэлвин : 1
которая : 2
преобразила : 5
фирму : 1
придав : 9
ей : 12
нынешний : 2
размах : 1
Но : 15
четыре : 10
Робертсона : 1
несомненно : 11
создавали : 5
все : 2
условия : 1
необходимые : 2
для : 14
работы : 1
Если : 15
бы : 16
не : 16
Ю : 1
С : 14
Роботс : 1
в : 14
двадцатом : 2
веке : 1
неминуемо : 11
разразилась : 5
бы : 16
непрерывно : 11
углубляющаяся : 7
экологическая : 2
катастрофа : 1
Кризис : 1
был : 5
предотвращен : 8
только : 16
благодаря : 14
Машинам : 1
которые : 2
искусно : 11
провели : 5
целое : 1
поколение : 1
людей : 1
через : 14
отмели : 1
и : 15
пороги : 1
истории : 1
И : 15
за : 14
это : 16
ему : 12
дали : 5
два : 10
года : 1
Что : 15
можно : 13
сделать : 6
за : 14
два : 10
года : 1
чтобы : 15
преодолеть : 6
непобедимое : 2
предубеждение : 1
человечества : 1
Неизвестно : 11
Харриман : 1
обнадеживал : 5
его : 12
намекая : 9
на : 14
какието : 8
новые : 1
идеи : 1
но : 15
не : 16
вдаваясь : 9
в : 14
детали : 1
А : 15
если : 15
бы : 16
и : 15
вдавался : 5
Робертсон : 1
наверняка : 11
ничего : 12
бы : 16
не : 16
понял : 5
Но : 15
что : 15
может : 5
сделать : 6
Харриман : 1
Как : 15
вообще : 11
можно : 13
бороться : 6
со : 14
стойким : 2
отвращением : 1
человека : 1
к : 14
имитации : 1
Никак : 16
Робертсон : 1
погрузился : 5
в : 14
дрему : 1
но : 15
и : 15
во : 14
сне : 1
не : 16
дождался : 5
озарения : 1
Теперь : 11
ты : 12
знаешь : 15
все : 2
Джордж : 1
Десять : 10
сказал : 5
Харриман : 1
Ты : 12
изучил : 5
все : 2
что : 15
мне : 12
казалось : 15
имеющим : 7
хоть : 15
какоето : 8
отношение : 1
к : 14
проблеме : 1
В : 14
твою : 2
память : 1
заложен : 8
такой : 2
объем : 5
информации : 1
о : 14
человечестве : 1
его : 12
обычаях : 1
его : 12
прошлом : 1
и : 15
настоящем : 2
что : 15
ты : 12
теперь : 11
гораздо : 11
более : 11
сведущ : 3
в : 14
этих : 2
делах : 1
чем : 15
я : 12
или : 15
ктолибо : 11
из : 14
людей : 1
Похоже : 15
на : 14
то : 15
Как : 15
ты : 12
считаешь : 5
нужно : 13
тебе : 12
чтонибудь : 5
еще : 16
Что : 15
касается : 5
информации : 1
я : 12
не : 16
вижу : 5
особых : 2
пробелов : 1
Возможно : 15
за : 14
ее : 12
пределами : 1
существуют : 5
явления : 1
о : 14
которых : 2
я : 12
даже : 16
не : 16
догадываюсь : 5
трудно : 11
сказать : 6
Но : 15
это : 16
неизбежно : 11
независимо : 11
от : 14
того : 2
насколько : 11
широкий : 2
круг : 1
информации : 1
мне : 12
удастся : 5
охватить : 6
Ты : 12
прав : 1
К : 14
тому : 2
же : 16
у : 14
нас : 12
нет : 13
времени : 1
для : 14
безграничного : 2
расширения : 1
твоих : 2
познаний : 1
Робертсон : 1
сказал : 5
что : 15
нам : 12
отпущено : 8
всего : 11
два : 10
года : 1
и : 15
четверть : 1
одного : 2
из : 14
них : 12
уже : 11
позади : 11
Ты : 12
можешь : 5
посоветовать : 6
чтонибудь : 5
В : 14
данный : 2
момент : 1
не : 16
могу : 5
мистер : 1
Харриман : 1
Я : 12
должен : 3
оценить : 6
информацию : 1
и : 15
для : 14
этого : 12
мне : 12
понадобится : 5
помощь : 1
Моя : 2
Нет : 13
Не : 16
только : 16
ваша : 2
Вы : 12
человек : 1
к : 14
тому : 2
же : 16
высокой : 2
квалификации : 1
и : 15
любое : 2
ваше : 2
мнение : 1
для : 14
меня : 12
частично : 11
будет : 5
иметь : 6
силу : 1
приказа : 1
подавляя : 9
таким : 2
образом : 1
мои : 2
рассуждения : 1
По : 14
той : 2
же : 16
причине : 1
я : 12
не : 16
хочу : 5
помощи : 1
от : 14
людей : 1
тем : 15
более : 11
что : 15
вы : 12
сами : 2
запретили : 5
мне : 12
общаться : 6
с : 14
ними : 12
Но : 15
в : 14
таком : 2
случае : 1
Джордж : 1
какой : 2
помощник : 1
тебе : 12
нужен : 3
Робот : 1
мистер : 1
Харриман : 1
Какой : 2
робот : 1
Из : 14
серии : 1
ДжР : 18
Я : 12
ведь : 15
десятый : 2
из : 14
них : 12
Но : 15
предыдущие : 2
модели : 1
были : 5
экспериментальными : 2
и : 15
оказались : 5
бесполезными : 2
Мистер : 1
Харриман : 1
существует : 5
Джордж : 1
Девять : 10
Да : 16
но : 15
от : 14
него : 12
тебе : 12
мало : 11
проку : 1
Он : 12
слишком : 11
похож : 3
на : 14
тебя : 12
если : 15
не : 16
считать : 6
отдельных : 2
недостатков : 1
Из : 14
вас : 12
двоих : 10
ты : 12
более : 11
универсален : 3
Я : 12
в : 14
этом : 12
не : 16
сомневаюсь : 5
совершенно : 11
серьезно : 11
сказал : 5
Джордж : 1
Десять : 10
кивнув : 9
головой : 1
И : 15
все : 2
же : 16
стоит : 5
мне : 12
начать : 6
мыслить : 6
в : 14
определенном : 2
направлении : 1
тот : 2
факт : 1
что : 15
именно : 16
я : 12
выдвинул : 5
идею : 1
мешает : 5
мне : 12
отвергнуть : 6
ее : 12
Если : 15
бы : 16
я : 12
мог : 5
развив : 9
какуюто : 11
мысль : 1
поделиться : 6
ею : 12
с : 14
Джорджем : 1
Девять : 10
он : 12
бы : 16
взглянул : 5
на : 14
нее : 1
со : 14
стороны : 1
и : 15
свободный : 2
от : 14
авторского : 2
пристрастия : 1
увидел : 5
бы : 16
изъяны : 1
и : 15
слабые : 2
места : 1
которые : 2
ускользают : 5
от : 14
меня : 12
Иначе : 11
говоря : 9
одна : 2
голова : 1
хорошо : 11
а : 15
две : 10
лучше : 4
да : 16
Джордж : 1
улыбнулся : 5
Харриман : 1
Если : 15
вы : 12
имеете : 5
в : 14
виду : 1
двух : 10
индивидуумов : 1
с : 14
одной : 2
головой : 1
на : 14
каждого : 2
вы : 12
правы : 3
мистер : 1
Харриман : 1
Хорошо : 11
Чтонибудь : 5
еще : 16
Да : 16
Я : 12
просмотрел : 5
уйму : 1
фильмов : 1
изображающих : 7
людей : 1
и : 15
их : 12
мир : 1
но : 15
этого : 12
недостаточно : 11
Здесь : 11
на : 14
фирме : 1
я : 12
видел : 5
людей : 1
и : 15
могу : 5
сверить : 6
свою : 2
интерпретацию : 1
того : 2
что : 15
показано : 8
на : 14
пленке : 1
с : 14
непосредственным : 2
сенсорным : 2
восприятием : 1
Но : 15
что : 15
касается : 5
окружающей : 2
среды : 1
я : 12
никогда : 11
не : 16
видел : 5
ее : 12
а : 15
судя : 9
по : 14
фильмам : 1
здешняя : 2
обстановка : 1
мало : 11
похожа : 3
на : 14
внешний : 2
мир : 1
Я : 12
хотел : 5
бы : 16
увидеть : 6
его : 12
Увидеть : 6
мир : 1
Харриман : 1
был : 5
ошеломлен : 8
грандиозностью : 1
задачи : 1
Надеюсь : 5
ты : 12
не : 16
думаешь : 5
что : 15
я : 12
могу : 5
вывезти : 6
тебя : 12
за : 14
пределы : 1
Ю : 1
С : 14
Роботс : 1
Именно : 16
этого : 12
я : 12
и : 15
хочу : 5
Но : 15
это : 16
противозаконно : 11
А : 15
если : 15
учесть : 6
сегодняшнее : 2
настроение : 1
общества : 1
последствия : 1
для : 14
фирмы : 1
могут : 5
быть : 6
просто : 16
фатальными : 2
Если : 15
нас : 12
засекут : 5
Я : 12
ведь : 15
не : 16
предлагаю : 5
вам : 12
отправиться : 6
со : 14
мной : 12
в : 14
город : 1
или : 15
в : 14
какойто : 3
район : 1
заселенный : 7
людьми : 1
Меня : 12
устроит : 5
любая : 2
открытая : 2
безлюдная : 2
местность : 1
Это : 16
тоже : 11
незаконно : 11
Только : 16
если : 15
нас : 12
поймают : 5
Но : 15
ведь : 15
могут : 5
и : 15
не : 16
поймать : 6
Для : 14
тебя : 12
это : 16
так : 15
важно : 3
Джордж : 1
спросил : 5
Харриман : 1
Точно : 11
не : 16
знаю : 5
но : 15
мне : 12
кажется : 15
да : 16
У : 14
тебя : 12
есть : 17
чтото : 8
на : 14
уме : 1
Не : 16
могу : 5
сказать : 6
неуверенно : 11
проговорил : 5
Джордж : 1
Десять : 10
Мне : 12
кажется : 15
чтото : 8
вырисовывается : 5
но : 15
мешает : 5
неопределенность : 1
исходных : 2
данных : 7
Хорошо : 11
я : 12
подумаю : 5
об : 14
этом : 12
А : 15
пока : 11
займусь : 5
Джорджем : 1
Девять : 10
и : 15
помещу : 5
вас : 12
в : 14
одну : 2
ячейку : 1
Тутто : 2
по : 14
крайней : 2
мере : 1
трудностей : 1
не : 16
предвидится : 5
Джордж : 1
Десять : 10
остался : 5
один : 2
Он : 12
вдумчиво : 11
отбирал : 5
суждения : 1
выстраивал : 5
их : 12
в : 14
цепочку : 1
и : 15
делал : 5
выводы : 1
начинал : 5
все : 2
сначала : 11
и : 15
проходил : 5
весь : 2
путь : 1
заново : 11
на : 14
основании : 1
выводов : 1
формулировал : 5
новые : 1
суждения : 1
проверял : 5
их : 12
находил : 5
противоречия : 1
и : 15
отвергал : 5
или : 15
принимал : 5
неустанно : 11
и : 15
терпеливо : 11
продолжая : 9
двигаться : 6
вперед : 11
к : 14
своей : 2
цели : 1
Выводы : 1
к : 14
которым : 2
он : 12
приходил : 5
не : 16
вызвали : 5
у : 14
него : 12
ни : 16
любопытства : 1
ни : 16
изумления : 1
ни : 16
восторга : 1
он : 12
просто : 16
ставил : 5
знак : 1
плюс : 15
или : 15
минус : 15
Харриман : 1
заметно : 11
расслабился : 5
когда : 15
они : 12
тихо : 11
приземлились : 5
в : 14
поместье : 1
Робертсона : 1
Робертсон : 1
подписал : 5
приказ : 1
передав : 9
в : 14
их : 12
распоряжение : 1
динафойл : 1
и : 15
бесшумный : 2
летательный : 2
аппарат : 1
одинаково : 11
легко : 11
передвигающийся : 7
как : 15
по : 14
вертикали : 1
так : 15
и : 15
по : 14
горизонтали : 1
оказался : 5
достаточно : 11
мощным : 2
чтобы : 15
поднять : 6
в : 14
воздух : 1
Харримана : 1
Джорджа : 1
Десять : 10
и : 15
естественно : 11
пилота : 1
Динафойл : 1
был : 5
создан : 8
в : 14
результате : 1
подсказанного : 7
Машинами : 1
изобретения : 1
протонного : 2
микрореактора : 1
который : 2
вырабатывал : 5
экологически : 11
чистую : 2
энергию : 1
малыми : 1
дозами : 1
С : 14
тех : 2
пор : 1
ни : 16
одного : 2
хоть : 15
скольконибудь : 11
сравнимого : 2
по : 14
значению : 1
открытия : 1
сделано : 8
не : 16
было : 5
при : 14
этой : 2
мысли : 1
Харриман : 1
сердито : 11
сжал : 5
губы : 1
но : 15
Ю : 1
С : 14
Роботс : 1
так : 15
и : 15
не : 16
дождалась : 5
заслуженной : 7
благодарности : 1
Перелет : 1
из : 14
здания : 1
фирмы : 1
в : 14
поместье : 1
Робертсона : 1
был : 5
рискованным : 2
трюком : 1
Хорошо : 11
что : 15
их : 12
не : 16
застукали : 5
с : 14
роботом : 1
на : 14
борту : 1
иначе : 11
сразу : 11
жди : 5
неприятностей : 1
Правда : 16
оставался : 5
еще : 16
обратный : 2
путь : 1
Что : 15
же : 16
касается : 5
территории : 1
поместья : 1
тут : 11
вопрос : 1
становился : 5
спорным : 2
поскольку : 15
участок : 1
считался : 5
собственностью : 1
фирмы : 1
а : 15
в : 14
пределах : 1
владений : 1
компании : 1
роботы : 1
имели : 5
право : 1
находиться : 6
под : 14
неусыпным : 2
присмотром : 1
специалистов : 1
разумеется : 15
Пилот : 1
обернулся : 5
и : 15
украдкой : 11
взглянул : 5
на : 14
Джорджа : 1
Десять : 10
Вы : 12
собираетесь : 5
выйти : 6
мистер : 1
Харриман : 1
Да : 16
И : 15
эта : 2
штука : 1
тоже : 11
О : 14
да : 16
В : 14
голосе : 1
зазвучала : 5
насмешка : 1
Я : 12
не : 16
оставлю : 5
вас : 12
с : 14
ним : 12
наедине : 11
Джордж : 1
Десять : 10
спустился : 5
первым : 2
Харриман : 1
последовал : 5
за : 14
ним : 12
Они : 12
приземлились : 5
на : 14
посадочной : 2
площадке : 1
неподалеку : 11
от : 14
сада : 1
Сад : 1
выглядел : 5
настолько : 11
образцово : 3
что : 15
наводил : 5
на : 14
подозрения : 1
не : 16
использует : 5
ли : 16
Робертсон : 1
ювенильные : 2
гормоны : 1
чтобы : 15
контролировать : 6
число : 1
насекомых : 1
вопреки : 14
распоряжениям : 1
экологической : 2
службы : 1
Идем : 5
Джордж : 1
позвал : 5
Харриман : 1
Вот : 16
смотри : 5
Я : 12
в : 14
общем : 2
примерно : 11
так : 15
себе : 12
все : 2
и : 15
представлял : 5
Мои : 2
глаза : 1
не : 16
различают : 5
длины : 1
волн : 1
поэтому : 11
возможно : 15
я : 12
распознаю : 5
не : 16
все : 2
объекты : 1
Надеюсь : 5
тебя : 12
не : 16
слишком : 11
удручает : 5
твой : 2
дальтонизм : 1
Чтобы : 15
сформировать : 6
способность : 1
к : 14
суждениям : 1
потребовалось : 5
задействовать : 6
огромное : 2
количество : 1
позитронных : 2
связей : 1
так : 15
что : 15
цветовым : 2
восприятием : 1
пришлось : 5
пожертвовать : 6
В : 14
будущем : 1
если : 15
оно : 12
у : 14
нас : 12
есть : 17
Я : 12
понимаю : 5
мистер : 1
Харриман : 1
Однако : 15
различий : 1
которые : 2
я : 12
вижу : 5
вполне : 11
достаточно : 11
чтобы : 15
прийти : 6
к : 14
заключению : 1
что : 15
существуют : 5
разнообразные : 2
формы : 1
растительной : 2
жизни : 1
Безусловно : 15
Их : 12
очень : 11
много : 11
И : 15
каждая : 2
из : 14
них : 12
равна : 3
человеческой : 2
форме : 1
жизни : 1
в : 14
биологическом : 2
смысле : 1
Да : 16
каждая : 2
представляет : 5
собой : 12
отдельный : 2
вид : 1
Существуют : 5
миллионы : 1
видов : 1
живых : 1
существ : 1
И : 15
человек : 1
лишь : 16
один : 2
из : 14
этих : 2
видов : 1
Однако : 15
он : 12
наиболее : 11
важен : 3
для : 14
людей : 1
Для : 14
меня : 12
тоже : 11
мистер : 1
Харриман : 1
Но : 15
я : 12
имею : 5
в : 14
виду : 1
чисто : 11
биологический : 2
подход : 1
Понимаю : 5
Таким : 2
образом : 1
жизнь : 1
необычайно : 11
сложна : 3
с : 14
точки : 1
зрения : 1
разнообразия : 1
форм : 1
Ты : 12
прав : 1
Джордж : 1
в : 14
томто : 3
вся : 2
и : 15
загвоздка : 1
То : 15
что : 15
человек : 1
придумывает : 5
для : 14
собственного : 2
удобства : 1
оказывает : 5
влияние : 1
на : 14
всю : 2
систему : 1
жизни : 1
вокруг : 11
и : 15
достижение : 1
кратковременных : 2
целей : 1
зачастую : 11
оборачивается : 5
долговременными : 2
неприятностями : 1
Машины : 1
научили : 5
нас : 12
как : 15
устроить : 6
человеческое : 2
общество : 1
чтобы : 15
свести : 6
эти : 2
проблемы : 1
к : 14
минимуму : 1
но : 15
катастрофа : 1
угрожавшая : 7
в : 14
начале : 1
двадцать : 10
первого : 1
века : 1
поселила : 5
в : 14
людях : 1
стойкую : 2
подозрительность : 1
по : 14
отношению : 1
к : 14
любым : 2
новшествам : 1
Учитывая : 9
это : 16
да : 16
еще : 16
особый : 2
страх : 11
перед : 14
роботами : 1
Я : 12
понял : 5
вас : 12
мистер : 1
Харриман : 1
А : 15
вот : 16
и : 15
представитель : 1
животного : 1
мира : 1
я : 12
почти : 11
уверен : 3
Это : 16
белка : 1
одна : 2
из : 14
многих : 2
разновидностей : 1
Белка : 1
распушив : 9
хвост : 1
перелетела : 5
на : 14
другую : 2
сторону : 1
дерева : 1
Надо : 13
же : 16
совсем : 11
крошечный : 2
сказал : 5
Джордж : 1
молниеносно : 11
взмахнув : 9
рукой : 1
и : 15
разглядывая : 9
нечто : 12
зажатое : 7
в : 14
пальцах : 1
Это : 16
насекомое : 1
букашка : 1
какаято : 8
Их : 12
несколько : 11
тысяч : 1
видов : 1
И : 15
каждая : 2
букашка : 1
такое : 2
же : 16
живое : 2
существо : 1
как : 15
белка : 1
и : 15
вы : 12
сами : 2
Такой : 2
же : 16
законченный : 7
и : 15
независимый : 2
организм : 1
как : 15
и : 15
любой : 1
другой : 2
Существуют : 5
еще : 16
более : 11
мелкие : 2
организмы : 1
такие : 2
мелкие : 2
что : 15
их : 12
невозможно : 11
увидеть : 6
невооруженным : 2
глазом : 1
А : 15
вот : 16
это : 16
дерево : 1
да : 16
Твердое : 2
на : 14
ощупь : 1
Пилот : 1
остался : 5
один : 2
Ему : 12
хотелось : 5
вытянуть : 6
ноги : 1
но : 15
смутная : 2
тревога : 1
удерживала : 5
его : 12
внутри : 14
динафойла : 1
Он : 12
немедленно : 11
поднимет : 5
машину : 1
в : 14
воздух : 1
если : 15
робот : 1
вдруг : 11
выйдет : 5
изпод : 1
контроля : 1
Только : 16
как : 15
определишь : 5
что : 15
эта : 2
штука : 1
стала : 5
неуправляемой : 2
Он : 12
повидал : 5
немало : 11
роботов : 1
на : 14
своем : 2
веку : 1
это : 16
неизбежно : 11
если : 15
работаешь : 5
личным : 2
пилотом : 1
мистера : 1
Робертсона : 1
Однако : 15
роботы : 1
всегда : 11
оставались : 5
в : 14
лабораториях : 1
и : 15
на : 14
складах : 1
где : 11
им : 1
и : 15
положено : 8
быть : 6
в : 14
окружении : 1
множества : 1
специалистов : 1
Конечно : 15
доктор : 1
Харриман : 1
классный : 2
специалист : 1
Говорят : 15
даже : 16
самый : 2
лучший : 2
Тем : 15
не : 16
менее : 11
робот : 1
находился : 5
там : 11
где : 11
ему : 12
быть : 6
не : 16
полагалось : 5
на : 14
Земле : 1
под : 14
открытым : 2
небом : 1
и : 15
вдобавок : 11
был : 5
совершенно : 11
не : 16
ограничен : 3
в : 14
передвижениях : 1
Рассказывать : 6
об : 14
этом : 12
кому : 1
бы : 16
то : 15
ни : 16
было : 5
и : 15
рисковать : 6
хорошей : 5
работой : 1
не : 16
стоит : 5
разумеется : 15
И : 15
всетаки : 1
неправильно : 11
все : 2
это : 16
Фильмы : 1
просмотренные : 7
мною : 12
согласуются : 5
с : 14
тем : 15
что : 15
я : 12
увидел : 5
в : 14
реальности : 1
сказал : 5
Джордж : 1
Десять : 10
Ты : 12
управился : 5
с : 14
пленками : 1
которые : 2
я : 12
отобрал : 5
для : 14
тебя : 12
Да : 16
ответил : 5
Джордж : 1
Девять : 10
Роботы : 1
застыли : 5
в : 14
неподвижности : 1
лицом : 1
к : 14
лицу : 1
коленями : 1
к : 14
коленям : 1
как : 15
в : 14
зеркальном : 2
отражении : 1
Правда : 16
доктор : 1
Харриман : 1
с : 14
первого : 1
взгляда : 1
мог : 5
бы : 16
распознать : 6
их : 12
по : 14
небольшим : 2
различиям : 1
во : 14
внешнем : 2
строении : 1
Но : 15
даже : 16
если : 15
бы : 16
ему : 12
не : 16
удалось : 5
определить : 6
кто : 12
есть : 17
кто : 12
все : 2
прояснилось : 5
бы : 16
во : 14
время : 1
беседы : 1
поскольку : 15
ответы : 1
Джорджа : 1
Девять : 10
слегка : 11
отличались : 5
от : 14
реплик : 1
Джорджа : 1
Десять : 10
чьи : 2
позитронные : 2
мозги : 1
представляли : 5
собой : 12
усложненную : 7
и : 15
более : 11
совершенную : 2
конструкцию : 1
В : 14
таком : 2
случае : 1
продолжал : 5
Джордж : 1
Десять : 10
мне : 12
интересна : 3
твоя : 2
реакция : 1
на : 14
мои : 2
вопросы : 1
Вопервых : 1
люди : 1
боятся : 5
роботов : 1
и : 15
не : 16
доверяют : 5
им : 1
потому : 11
что : 15
видят : 5
в : 14
них : 12
соперников : 1
Как : 15
можно : 13
избежать : 6
этого : 12
Ослабить : 6
дух : 1
соперничества : 1
придав : 9
роботам : 1
другую : 2
форму : 1
Однако : 15
по : 14
сути : 1
робот : 1
позитронная : 2
копия : 1
живого : 1
существа : 1
и : 15
если : 15
его : 12
внешний : 2
вид : 1
не : 16
будет : 5
ассоциироваться : 6
с : 14
жизнью : 1
это : 16
вызовет : 5
настоящий : 2
ужас : 1
В : 14
мире : 1
два : 10
миллиона : 1
видов : 1
живых : 1
существ : 1
Нужно : 13
выбрать : 6
один : 2
из : 14
них : 12
по : 14
форме : 1
отличающийся : 7
от : 14
человека : 1
Какой : 2
именно : 16
Бесшумный : 2
мыслительный : 2
процесс : 1
Джорджа : 1
Девять : 10
занял : 5
около : 14
трех : 10
секунд : 1
Достаточно : 11
большой : 2
чтобы : 15
вместить : 6
позитронный : 2
мозг : 1
и : 15
одновременно : 11
не : 16
вызывающий : 2
у : 14
людей : 1
неприязни : 1
Ни : 16
одна : 2
из : 14
форм : 1
земной : 2
жизни : 1
не : 16
обладает : 5
достаточно : 11
большим : 2
черепом : 1
кроме : 14
слона : 1
которого : 2
я : 12
не : 16
видел : 5
но : 15
которого : 2
описывают : 5
как : 15
огромное : 2
существо : 1
своими : 2
размерами : 1
наводящее : 2
на : 14
человека : 1
страх : 11
Как : 15
решить : 6
эту : 2
дилемму : 1
Скопировать : 6
форму : 1
жизни : 1
не : 16
превышающую : 7
человека : 1
по : 14
размерам : 1
и : 15
увеличить : 6
черепную : 2
коробку : 1
То : 15
есть : 17
чтото : 8
вроде : 16
маленькой : 1
лошади : 1
или : 15
большой : 2
собаки : 1
И : 15
те : 2
и : 15
другие : 2
связаны : 8
с : 14
людьми : 1
долгой : 2
совместной : 2
историей : 1
В : 14
таком : 2
случае : 1
они : 12
подходят : 5
Но : 15
подумай : 5
вот : 16
о : 14
чем : 15
позитронный : 2
мозг : 1
робота : 1
более : 11
или : 15
менее : 11
точно : 11
копирует : 5
человеческий : 2
интеллект : 1
Если : 15
лошади : 1
или : 15
собаки : 1
заговорят : 5
и : 15
станут : 5
мыслить : 6
как : 15
люди : 1
соперничество : 1
не : 16
ослабнет : 5
Наоборот : 11
люди : 1
еще : 16
больше : 4
могут : 5
рассердиться : 6
при : 14
виде : 1
такого : 2
неожиданного : 2
соперника : 1
в : 14
лице : 1
тех : 2
кого : 12
они : 12
считают : 5
низшей : 2
формой : 1
жизни : 1
Надо : 13
сделать : 6
позитронный : 2
мозг : 1
менее : 11
сложным : 2
а : 15
роботов : 1
менее : 11
разумными : 2
Причина : 1
сложности : 1
позитронного : 2
мозга : 1
кроется : 5
в : 14
Трех : 10
Законах : 1
Упрощенный : 2
мозг : 1
не : 16
сможет : 5
выполнять : 6
их : 12
как : 15
следует : 5
Значит : 15
проблема : 1
не : 16
имеет : 5
решения : 1
выпалил : 5
Джордж : 1
Девять : 10
Я : 12
тоже : 11
зашел : 5
в : 14
тупик : 1
признался : 5
Джордж : 1
Десять : 10
Таким : 2
образом : 1
мы : 12
выяснили : 5
что : 15
особенности : 1
моего : 2
мышления : 1
туг : 3
ни : 16
при : 14
чем : 15
Начнем : 5
все : 2
сначала : 11
При : 14
каких : 2
условиях : 1
отпадает : 5
необходимость : 1
в : 14
Третьем : 1
Законе : 1
Джордж : 1
Девять : 10
поежился : 5
словно : 15
вопрос : 1
показался : 5
ему : 12
не : 16
только : 16
трудным : 2
но : 15
и : 15
опасным : 2
Однако : 15
ответил : 5
помедлив : 9
Если : 15
робот : 1
никогда : 11
не : 16
попадет : 5
в : 14
ситуацию : 1
угрожающую : 7
его : 12
существованию : 1
или : 15
если : 15
он : 12
будет : 5
настолько : 11
легко : 11
заменим : 3
что : 15
разрушение : 1
его : 12
будет : 5
не : 16
столь : 11
важным : 2
А : 15
при : 14
каких : 2
условиях : 1
станет : 5
ненужным : 2
Второй : 2
Закон : 1
В : 14
голосе : 1
Джорджа : 1
Девять : 10
послышалась : 5
легкая : 2
хрипотца : 1
Если : 15
от : 14
робота : 1
потребуется : 5
только : 16
автоматическая : 2
реакция : 1
на : 14
определенный : 2
раздражитель : 1
и : 15
если : 15
эта : 2
реакция : 1
будет : 5
жестко : 11
заданной : 7
то : 15
необходимость : 1
во : 14
Втором : 1
Законе : 1
отпадет : 5
А : 15
при : 14
каких : 2
условиях : 1
Джордж : 1
Десять : 10
сделал : 5
паузу : 1
может : 5
оказаться : 6
ненужным : 2
Первый : 2
Закон : 1
Джордж : 1
Девять : 10
выдержал : 5
еще : 16
более : 11
длинную : 2
паузу : 1
и : 15
проговорил : 5
еле : 11
слышным : 2
шепотом : 11
Если : 15
реакция : 1
робота : 1
будет : 5
запрограммирована : 8
таким : 2
образом : 1
что : 15
он : 12
никогда : 11
не : 16
сможет : 5
причинить : 6
человеку : 1
вред : 1
А : 15
теперь : 11
представь : 5
себе : 12
